project,camera,mark,Model,FOV,species,image_name,number,dates,times,diel,datetimes,deltatime,longitude,latitude,radian
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0070 (3).JPG,5,3/12/24,4:23:02,0.157615741,3/12/24 4:23,0,343014,1026380,1.147699427
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0071 (3).JPG,5,3/12/24,4:23:02,0.157615741,3/12/24 4:23,0,343014,1026380,1.147699427
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0073.JPG,5,3/12/24,4:23:18,0.157615741,3/12/24 4:23,16,343014,1026380,1.14886298
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0073 (3).JPG,5,3/12/24,4:23:18,0.157615741,3/12/24 4:23,0,343014,1026380,1.14886298
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0074.JPG,4,3/12/24,4:23:19,0.157615741,3/12/24 4:23,1,343014,1026380,1.148935702
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0075.JPG,5,3/12/24,4:23:19,0.157615741,3/12/24 4:23,0,343014,1026380,1.148935702
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0074 (3).JPG,4,3/12/24,4:23:19,0.157615741,3/12/24 4:23,0,343014,1026380,1.148935702
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0075 (3).JPG,5,3/12/24,4:23:19,0.157615741,3/12/24 4:23,0,343014,1026380,1.148935702
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0077.JPG,5,3/12/24,4:23:36,0.157615741,3/12/24 4:23,17,343014,1026380,1.150171977
Last,CAMERA 10,GardePro,A3S,47.40533194,Syncerus caffer,DSCF0077 (3).JPG,5,3/12/24,4:23:36,0.157615741,3/12/24 4:23,0,343014,1026380,1.150171977
